dataset,method,epsilon,n,m,radius,alpha_used,violation_rate,mean_realized_error,q95_realized_error,mean_budget_saved,mean_avg_cost,median_threshold,oracle_lp_saved,oracle_lp_error
ImageNet,best_of_singles_bonferroni,0.05,50000,10000,0.013581015157406196,0.025,0.0,0.037185760000000005,0.03990699999999999,0.37823147999999995,0.6217685199999999,0.29171162843704224,0.67742,0.04926
ImageNet,best_of_singles_bonferroni,0.1,50000,10000,0.013581015157406196,0.025,0.0,0.08785124000000001,0.09216300000000001,0.47456360000000003,0.5254364,0.6640999019145966,0.81178,0.09938
ImageNet,best_of_singles_bonferroni,0.15,50000,10000,0.013581015157406196,0.025,0.0,0.13830544,0.14344,0.52955012,0.47044988,0.8140591728466057,0.90694,0.14978
ImageNet,lp_two_source_uniform_ucb,0.05,50000,10000,0.020376456967484798,0.05,0.0,0.029048960000000002,0.03152,0.5897749999999999,0.41022499999999995,0.09,0.67742,0.04926
ImageNet,lp_two_source_uniform_ucb,0.1,50000,10000,0.020376456967484798,0.05,0.0,0.07925464,0.0841,0.7644721600000001,0.23552784,0.31,0.81178,0.09938
ImageNet,lp_two_source_uniform_ucb,0.15,50000,10000,0.020376456967484798,0.05,0.0,0.12899208,0.13516,0.8704665199999999,0.12953348,0.485,0.90694,0.14978
ImageNet,single_A_monotone_pac,0.05,50000,10000,0.012238734153404082,0.05,0.0,0.03775436,0.040761,0.37426348000000004,0.62573652,0.29015421867370605,0.67742,0.04926
ImageNet,single_A_monotone_pac,0.1,50000,10000,0.012238734153404082,0.05,0.0,0.08781528,0.09278,0.47148252,0.52851748,0.6383683085441589,0.81178,0.09938
ImageNet,single_A_monotone_pac,0.15,50000,10000,0.012238734153404082,0.05,0.0,0.13773716,0.14414799999999997,0.52732356,0.47267644000000003,0.8133564954496249,0.90694,0.14978
ImageNet,single_B_monotone_pac,0.05,50000,10000,0.012238734153404082,0.05,0.0,0.037807600000000004,0.04078299999999999,0.38093928,0.61906072,0.30026382207870483,0.67742,0.04926
ImageNet,single_B_monotone_pac,0.1,50000,10000,0.012238734153404082,0.05,0.0,0.08774744,0.092541,0.4753736,0.5246263999999999,0.6729789823293686,0.81178,0.09938
ImageNet,single_B_monotone_pac,0.15,50000,10000,0.012238734153404082,0.05,0.0,0.13792143999999998,0.143602,0.5298615600000001,0.47013844,0.8142072657106001,0.90694,0.14978
ImageNetV2,best_of_singles_bonferroni,0.05,10000,2000,0.030368073095415258,0.025,0.0,0.020984,0.0265,0.233089,0.766911,0.09960000000000002,0.4777,0.0489
ImageNetV2,best_of_singles_bonferroni,0.1,10000,2000,0.030368073095415258,0.025,0.0,0.0719742,0.08101999999999998,0.3586966,0.6413034,0.39690000000000003,0.616,0.0998
ImageNetV2,best_of_singles_bonferroni,0.15,10000,2000,0.030368073095415258,0.025,0.0,0.1226276,0.1342,0.4388766,0.5611233999999999,0.6309,0.7155,0.1488
ImageNetV2,lp_two_source_uniform_ucb,0.05,10000,2000,0.04556314291989523,0.05,0.0,0.0019096000000000002,0.0051,0.0935732,0.9064268,0.0,0.4777,0.0489
ImageNetV2,lp_two_source_uniform_ucb,0.1,10000,2000,0.04556314291989523,0.05,0.0,0.0533508,0.0615,0.4923304,0.5076696,0.13,0.616,0.0998
ImageNetV2,lp_two_source_uniform_ucb,0.15,10000,2000,0.04556314291989523,0.05,0.0,0.103593,0.1149,0.6250428,0.3749572,0.28,0.7155,0.1488
ImageNetV2,single_A_monotone_pac,0.05,10000,2000,0.027366641525559867,0.05,0.0,0.0227472,0.0286,0.22538419999999998,0.7746158000000001,0.10009999999999997,0.4777,0.0489
ImageNetV2,single_A_monotone_pac,0.1,10000,2000,0.027366641525559867,0.05,0.0,0.07272580000000001,0.08181,0.3469698,0.6530302,0.3788,0.616,0.0998
ImageNetV2,single_A_monotone_pac,0.15,10000,2000,0.027366641525559867,0.05,0.0,0.1233882,0.1355,0.4286774,0.5713226,0.5962000000000001,0.7155,0.1488
ImageNetV2,single_B_monotone_pac,0.05,10000,2000,0.027366641525559867,0.05,0.0,0.0229964,0.0288,0.24242519999999998,0.7575748,0.11499999999999999,0.4777,0.0489
ImageNetV2,single_B_monotone_pac,0.1,10000,2000,0.027366641525559867,0.05,0.0,0.0730248,0.082505,0.3629374,0.6370625999999999,0.4042,0.616,0.0998
ImageNetV2,single_B_monotone_pac,0.15,10000,2000,0.027366641525559867,0.05,0.0,0.1226092,0.13321,0.4411886,0.5588114000000001,0.6408,0.7155,0.1488
